Sample Name, Sample-6
Time, November 05 14:57:34 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
834.0, 0.0656, 85.98
835.0, 0.0653, 86.04
836.0, 0.0654, 86.03
837.0, 0.0655, 86.00
838.0, 0.0653, 86.04
839.0, 0.0651, 86.09
840.0, 0.0651, 86.07
841.0, 0.0650, 86.09
842.0, 0.0651, 86.07
843.0, 0.0650, 86.10
844.0, 0.0650, 86.10
845.0, 0.0650, 86.11
846.0, 0.0649, 86.11
847.0, 0.0649, 86.12
848.0, 0.0649, 86.13
849.0, 0.0649, 86.12
850.0, 0.0648, 86.14
851.0, 0.0647, 86.16
852.0, 0.0644, 86.22
853.0, 0.0645, 86.19
854.0, 0.0644, 86.22
855.0, 0.0646, 86.18
856.0, 0.0644, 86.22
857.0, 0.0643, 86.23
858.0, 0.0643, 86.23
859.0, 0.0641, 86.27
860.0, 0.0644, 86.22
861.0, 0.0641, 86.28
862.0, 0.0643, 86.24
863.0, 0.0642, 86.26
864.0, 0.0641, 86.28
865.0, 0.0642, 86.26
866.0, 0.0639, 86.31
867.0, 0.0640, 86.30
868.0, 0.0641, 86.28
869.0, 0.0639, 86.31
870.0, 0.0637, 86.37
871.0, 0.0636, 86.37
872.0, 0.0637, 86.35
873.0, 0.0637, 86.37
874.0, 0.0635, 86.39
875.0, 0.0634, 86.42
876.0, 0.0635, 86.40
877.0, 0.0635, 86.40
878.0, 0.0635, 86.40
879.0, 0.0632, 86.45
880.0, 0.0636, 86.39
881.0, 0.0634, 86.41
882.0, 0.0634, 86.42
883.0, 0.0633, 86.44
884.0, 0.0631, 86.48
885.0, 0.0628, 86.53
886.0, 0.0631, 86.47
887.0, 0.0632, 86.45
888.0, 0.0629, 86.51
889.0, 0.0628, 86.53
890.0, 0.0627, 86.56
891.0, 0.0627, 86.55
892.0, 0.0630, 86.50
893.0, 0.0629, 86.51
894.0, 0.0626, 86.57
895.0, 0.0626, 86.57
896.0, 0.0623, 86.63
897.0, 0.0624, 86.61
898.0, 0.0623, 86.64
899.0, 0.0622, 86.66
900.0, 0.0623, 86.64
901.0, 0.0624, 86.62
902.0, 0.0625, 86.59
903.0, 0.0624, 86.62
904.0, 0.0623, 86.63
905.0, 0.0623, 86.63
906.0, 0.0623, 86.64
907.0, 0.0621, 86.68
908.0, 0.0621, 86.68
909.0, 0.0621, 86.67
910.0, 0.0621, 86.67
911.0, 0.0621, 86.68
912.0, 0.0618, 86.73
913.0, 0.0620, 86.69
914.0, 0.0621, 86.67
915.0, 0.0618, 86.73
916.0, 0.0618, 86.74
917.0, 0.0618, 86.74
918.0, 0.0616, 86.77
919.0, 0.0617, 86.75
920.0, 0.0619, 86.72
921.0, 0.0616, 86.78
922.0, 0.0616, 86.78
923.0, 0.0616, 86.78
924.0, 0.0617, 86.75
925.0, 0.0617, 86.77
926.0, 0.0615, 86.80
927.0, 0.0613, 86.84
928.0, 0.0615, 86.80
929.0, 0.0614, 86.81
930.0, 0.0613, 86.83
931.0, 0.0613, 86.84
932.0, 0.0612, 86.85
933.0, 0.0613, 86.83
934.0, 0.0612, 86.86
935.0, 0.0611, 86.87
936.0, 0.0612, 86.86
937.0, 0.0610, 86.90
938.0, 0.0610, 86.89
939.0, 0.0610, 86.91
940.0, 0.0610, 86.90
941.0, 0.0608, 86.94
942.0, 0.0609, 86.92
943.0, 0.0607, 86.95
944.0, 0.0608, 86.94
945.0, 0.0608, 86.93
946.0, 0.0607, 86.96
947.0, 0.0608, 86.94
948.0, 0.0607, 86.95
949.0, 0.0607, 86.96
950.0, 0.0605, 86.99
951.0, 0.0607, 86.96
952.0, 0.0606, 86.97
953.0, 0.0605, 87.01
954.0, 0.0604, 87.02
955.0, 0.0605, 86.99
956.0, 0.0603, 87.03
957.0, 0.0603, 87.03
958.0, 0.0603, 87.05
959.0, 0.0602, 87.05
960.0, 0.0604, 87.02
961.0, 0.0603, 87.03
962.0, 0.0601, 87.07
963.0, 0.0602, 87.06
964.0, 0.0602, 87.05
965.0, 0.0602, 87.06
966.0, 0.0601, 87.08
967.0, 0.0603, 87.05
968.0, 0.0601, 87.07
969.0, 0.0601, 87.08
