Sample Name, Eq3S1.sca
Time, October 29 15:21:45 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
713.0, 0.0040, 99.09
714.0, 0.0037, 99.16
715.0, 0.0037, 99.14
716.0, 0.0040, 99.09
717.0, 0.0040, 99.08
718.0, 0.0038, 99.13
719.0, 0.0040, 99.09
720.0, 0.0040, 99.09
721.0, 0.0040, 99.08
722.0, 0.0041, 99.05
723.0, 0.0043, 99.02
724.0, 0.0042, 99.04
725.0, 0.0040, 99.08
726.0, 0.0038, 99.13
727.0, 0.0039, 99.10
728.0, 0.0038, 99.13
729.0, 0.0036, 99.17
730.0, 0.0038, 99.12
731.0, 0.0038, 99.12
732.0, 0.0038, 99.13
733.0, 0.0041, 99.07
734.0, 0.0040, 99.08
735.0, 0.0040, 99.09
736.0, 0.0041, 99.06
737.0, 0.0041, 99.07
738.0, 0.0037, 99.15
739.0, 0.0036, 99.17
740.0, 0.0036, 99.17
741.0, 0.0040, 99.08
742.0, 0.0038, 99.12
743.0, 0.0038, 99.13
744.0, 0.0036, 99.18
745.0, 0.0037, 99.15
746.0, 0.0037, 99.14
747.0, 0.0037, 99.16
748.0, 0.0039, 99.10
749.0, 0.0039, 99.12
750.0, 0.0038, 99.12
751.0, 0.0037, 99.16
752.0, 0.0038, 99.14
753.0, 0.0038, 99.13
754.0, 0.0038, 99.14
755.0, 0.0038, 99.13
756.0, 0.0035, 99.20
757.0, 0.0036, 99.18
758.0, 0.0038, 99.14
759.0, 0.0039, 99.12
760.0, 0.0037, 99.16
761.0, 0.0035, 99.20
762.0, 0.0037, 99.14
763.0, 0.0040, 99.09
764.0, 0.0038, 99.13
765.0, 0.0036, 99.18
766.0, 0.0037, 99.16
767.0, 0.0039, 99.09
768.0, 0.0035, 99.19
769.0, 0.0033, 99.25
770.0, 0.0038, 99.13
771.0, 0.0033, 99.25
772.0, 0.0039, 99.11
773.0, 0.0034, 99.21
774.0, 0.0038, 99.13
775.0, 0.0035, 99.20
776.0, 0.0034, 99.22
777.0, 0.0034, 99.21
778.0, 0.0036, 99.18
779.0, 0.0034, 99.21
780.0, 0.0036, 99.17
781.0, 0.0036, 99.18
782.0, 0.0036, 99.17
783.0, 0.0040, 99.09
784.0, 0.0038, 99.14
785.0, 0.0038, 99.14
786.0, 0.0038, 99.14
787.0, 0.0034, 99.22
788.0, 0.0034, 99.22
789.0, 0.0038, 99.13
790.0, 0.0037, 99.15
