Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
567.0, 0.1266, 74.71
568.0, 0.1272, 74.61
569.0, 0.1274, 74.58
570.0, 0.1277, 74.53
571.0, 0.1281, 74.46
572.0, 0.1282, 74.43
573.0, 0.1281, 74.46
574.0, 0.1287, 74.36
575.0, 0.1289, 74.33
576.0, 0.1290, 74.30
577.0, 0.1292, 74.27
578.0, 0.1293, 74.24
579.0, 0.1296, 74.20
580.0, 0.1301, 74.12
581.0, 0.1302, 74.10
582.0, 0.1302, 74.09
583.0, 0.1303, 74.08
584.0, 0.1307, 74.02
585.0, 0.1307, 74.01
586.0, 0.1291, 74.29
587.0, 0.1291, 74.29
588.0, 0.1295, 74.22
589.0, 0.1293, 74.25
590.0, 0.1297, 74.19
591.0, 0.1301, 74.12
592.0, 0.1301, 74.11
593.0, 0.1304, 74.06
594.0, 0.1304, 74.07
595.0, 0.1302, 74.10
596.0, 0.1308, 73.99
597.0, 0.1311, 73.94
598.0, 0.1311, 73.94
599.0, 0.1316, 73.86
600.0, 0.1318, 73.83
601.0, 0.1317, 73.83
602.0, 0.1321, 73.77
603.0, 0.1321, 73.77
604.0, 0.1321, 73.77
605.0, 0.1325, 73.70
606.0, 0.1329, 73.65
607.0, 0.1331, 73.61
608.0, 0.1331, 73.61
609.0, 0.1332, 73.59
610.0, 0.1333, 73.58
611.0, 0.1334, 73.55
612.0, 0.1338, 73.48
613.0, 0.1341, 73.44
614.0, 0.1340, 73.45
615.0, 0.1345, 73.37
616.0, 0.1344, 73.38
617.0, 0.1348, 73.31
618.0, 0.1346, 73.35
619.0, 0.1346, 73.35
620.0, 0.1352, 73.26
621.0, 0.1350, 73.28
622.0, 0.1353, 73.23
623.0, 0.1354, 73.22
624.0, 0.1354, 73.21
625.0, 0.1355, 73.19
626.0, 0.1355, 73.19
627.0, 0.1358, 73.15
628.0, 0.1359, 73.14
629.0, 0.1359, 73.13
630.0, 0.1362, 73.08
631.0, 0.1361, 73.09
632.0, 0.1364, 73.05
633.0, 0.1364, 73.05
634.0, 0.1369, 72.97
635.0, 0.1367, 72.99
